ecn_item,proportions,valeurs
Item 1,20.401337792642142,122
Item 146,7.6923076923076925,46
Item 224,3.511705685618729,21
Item 290,2.341137123745819,14
Item 128,2.1739130434782608,13
Item 13,2.1739130434782608,13
Item 223,2.0066889632107023,12
Item 75,2.0066889632107023,12
Item 184,1.6722408026755853,10
Item 247,1.6722408026755853,10
Item 66,1.6722408026755853,10
Item 256,1.3377926421404682,8
Item 155,1.3377926421404682,8
Item 74,1.3377926421404682,8
Item 270,1.1705685618729096,7
Item 150,1.1705685618729096,7
Item 204,1.1705685618729096,7
Item 161,1.1705685618729096,7
Item 175,1.1705685618729096,7
Item 36,1.1705685618729096,7
Item 19,1.1705685618729096,7
Item 187,1.0033444816053512,6
Item 222,1.0033444816053512,6
Item 149,1.0033444816053512,6
Item 361,1.0033444816053512,6
Item 135,1.0033444816053512,6
Item 110,1.0033444816053512,6
Item 77,0.8361204013377926,5
Item 269,0.8361204013377926,5
Item 159,0.8361204013377926,5
Item 129,0.8361204013377926,5
Item 325,0.6688963210702341,4
Item 173,0.6688963210702341,4
Item 271,0.6688963210702341,4
Item 67,0.6688963210702341,4
Item 48,0.6688963210702341,4
Item 243,0.6688963210702341,4
Item 162,0.6688963210702341,4
Item 96,0.5016722408026756,3
Item 9,0.5016722408026756,3
Item 99,0.5016722408026756,3
Item 186,0.5016722408026756,3
Item 272,0.5016722408026756,3
Item 24,0.5016722408026756,3
Item 253,0.5016722408026756,3
Item 326,0.5016722408026756,3
Item 95,0.5016722408026756,3
Item 16,0.5016722408026756,3
Item 234,0.5016722408026756,3
Item 226,0.5016722408026756,3
Item 107,0.5016722408026756,3
Item 59,0.5016722408026756,3
Item 200,0.5016722408026756,3
Item 47,0.5016722408026756,3
Item 230,0.5016722408026756,3
Item 35,0.5016722408026756,3
Item 252,0.33444816053511706,2
Item 353,0.33444816053511706,2
Item 124,0.33444816053511706,2
Item 171,0.33444816053511706,2
Item 219,0.33444816053511706,2
Item 119,0.33444816053511706,2
Item 154,0.33444816053511706,2
Item 242,0.33444816053511706,2
Item 169,0.33444816053511706,2
Item 100,0.33444816053511706,2
Item 188,0.33444816053511706,2
Item 349,0.33444816053511706,2
Item 284,0.33444816053511706,2
Item 23,0.33444816053511706,2
Item 73,0.33444816053511706,2
Item 148,0.33444816053511706,2
Item 334,0.33444816053511706,2
Item 246,0.33444816053511706,2
Item 147,0.33444816053511706,2
Item 249,0.33444816053511706,2
Item 283,0.33444816053511706,2
Item 327,0.33444816053511706,2
Item 57,0.33444816053511706,2
Item 164,0.33444816053511706,2
Item 133,0.33444816053511706,2
Item 98,0.16722408026755853,1
Item 53,0.16722408026755853,1
Item 52,0.16722408026755853,1
Item 267,0.16722408026755853,1
Item 84,0.16722408026755853,1
Item 37,0.16722408026755853,1
Item 213,0.16722408026755853,1
Item 7,0.16722408026755853,1
Item 125,0.16722408026755853,1
Item 33,0.16722408026755853,1
Item 251,0.16722408026755853,1
Item 324,0.16722408026755853,1
Item 4,0.16722408026755853,1
Item 105,0.16722408026755853,1
Item 212,0.16722408026755853,1
Item 167,0.16722408026755853,1
Item 363,0.16722408026755853,1
Item 132,0.16722408026755853,1
Item 12,0.16722408026755853,1
Item 111,0.16722408026755853,1
Item 42,0.16722408026755853,1
Item 172,0.16722408026755853,1
Item 134,0.16722408026755853,1
Item 81,0.16722408026755853,1
Item 139,0.16722408026755853,1
Item 308,0.16722408026755853,1
Item 176,0.16722408026755853,1
Item 174,0.16722408026755853,1
Item 76,0.16722408026755853,1
Item 83,0.16722408026755853,1
Item 118,0.16722408026755853,1
Item 94,0.16722408026755853,1
Item 199,0.16722408026755853,1
Item 238,0.16722408026755853,1
Item 182,0.16722408026755853,1
Item 274,0.16722408026755853,1
Item 122,0.16722408026755853,1
Item 285,0.16722408026755853,1
Item 286,0.16722408026755853,1
Item 41,0.16722408026755853,1
Item 69,0.16722408026755853,1
Item 168,0.16722408026755853,1
Item 2,0.16722408026755853,1
Item 39,0.16722408026755853,1
Item 359,0.16722408026755853,1
Item 260,0.16722408026755853,1
Item 120,0.16722408026755853,1
Item 116,0.16722408026755853,1
Item 259,0.16722408026755853,1
Item 264,0.16722408026755853,1
Item 241,0.16722408026755853,1
Item 6,0.16722408026755853,1
Item 71,0.16722408026755853,1
Item 217,0.16722408026755853,1
