FS,proportions,valeurs
FS02,23.548922056384743,142
FS01,23.217247097844112,140
FS04,13.432835820895523,81
FS03,9.286898839137644,56
FS09,8.7893864013267,53
FS05,5.804311774461028,35
FS08,5.306799336650083,32
FS10,3.6484245439469323,22
FS07,3.482587064676617,21
FS11,1.8242122719734661,11
FS06,1.658374792703151,10
