step_5,proportions,valeurs
PEC-ttt,47.088186356073216,283
Ethique-Communication-Relation,21.630615640599,130
Diagnostic,15.474209650582363,93
Administratif-Social,9.983361064891847,60
Diag+PEC,5.324459234608985,32
Prévention-Education,0.49916805324459235,3
