PE,proportions,valeurs
PE01,23.88059701492537,144
PE02,12.271973466003317,74
PE08,12.106135986733001,73
PE04,9.618573797678277,58
PE05,9.286898839137644,56
PE09,8.623548922056385,52
PE10,7.2968490878938645,44
PE06,6.799336650082918,41
PE07,5.804311774461028,35
PE03,4.311774461028192,26
