FS,proportions,valeurs
FS02,19.923371647509576,52
FS01,17.24137931034483,45
FS08,14.942528735632186,39
FS09,9.961685823754788,26
FS04,8.812260536398467,23
FS03,8.045977011494253,21
FS05,6.513409961685824,17
FS10,4.980842911877394,13
FS11,3.8314176245210727,10
FS06,3.065134099616858,8
FS07,2.681992337164751,7
