PE,proportions,valeurs
PE01,15.32567049808429,40
PE02,13.793103448275861,36
PE05,12.643678160919542,33
PE10,12.643678160919542,33
PE06,9.578544061302683,25
PE08,8.812260536398467,23
PE04,8.812260536398467,23
PE09,8.812260536398467,23
PE03,4.980842911877394,13
PE07,4.597701149425287,12
