step_5,proportions,valeurs
PEC-ttt,41.53846153846154,108
Administratif-Social,18.076923076923077,47
Ethique-Communication-Relation,17.307692307692307,45
Diagnostic,13.461538461538462,35
Diag+PEC,9.615384615384617,25
