step_5,proportions,valeurs
PEC-ttt,45.4123112659698,391
Ethique-Communication-Relation,20.32520325203252,175
Diagnostic,14.866434378629501,128
Administratif-Social,12.427409988385598,107
Diag+PEC,6.620209059233449,57
Prévention-Education,0.34843205574912894,3
