RC,proportions,valeurs
LANGAGE ORAL ET ÉCRIT (TROUBLE DU),0.14534883720930233,1
GOITRE - NODULE THYROÏDIEN,0.14534883720930233,1
INSUFFISANCE RÉNALE - MALADIE RENALE CHRONIQUE,0.14534883720930233,1
OSTÉOPOROSE,0.14534883720930233,1
COMPORTEMENT (TROUBLES),0.14534883720930233,1
PRURIT GÉNÉRALISÉ,0.14534883720930233,1
CONJONCTIVITE,0.14534883720930233,1
HÉMATURIE,0.14534883720930233,1
BRONCHIOLITE,0.14534883720930233,1
"DHL 04 – Maladies endocriniennes, nutritionnelles et métaboliques  ",0.14534883720930233,1
DHL 05 - Troubles mentaux et du comportement,0.14534883720930233,1
SYNDROME ROTULIEN,0.14534883720930233,1
NAUSÉE OU VOMISSEMENT,0.14534883720930233,1
MOLLUSCUM CONTAGIOSUM,0.14534883720930233,1
TUMÉFACTION,0.14534883720930233,1
ÉPIGASTRALGIE ,0.14534883720930233,1
SOUFFLE CARDIAQUE,0.14534883720930233,1
CANAL CARPIEN,0.14534883720930233,1
PARASITOSE DIGESTIVE,0.14534883720930233,1
ECZÉMA PALMO-PLANTAIRE DYSHIDROSIQUE,0.14534883720930233,1
AMÉNORRHÉE - OLIGOMÉNORRHÉE - HYPOMÉNORRHÉE,0.14534883720930233,1
FRACTURE,0.14534883720930233,1
CÉPHALÉE,0.14534883720930233,1
DÉPRESSION ,0.14534883720930233,1
VERRUE,0.14534883720930233,1
GLAUCOME,0.14534883720930233,1
ÉRYTHÈME,0.14534883720930233,1
ÉPILEPSIE,0.14534883720930233,1
ALGODYSTROPHIE,0.14534883720930233,1
EMBOLIE PULMONAIRE,0.14534883720930233,1
OTITE EXTERNE,0.14534883720930233,1
LUXATION,0.14534883720930233,1
ABCÈS SUPERFICIEL,0.14534883720930233,1
ÉNURÉSIE PSYCHOGÈNE,0.14534883720930233,1
