PE,proportions,valeurs
PE01,21.296296296296298,184
PE02,12.731481481481483,110
PE08,11.11111111111111,96
PE05,10.300925925925926,89
PE04,9.375,81
PE10,8.912037037037036,77
PE09,8.680555555555555,75
PE06,7.638888888888889,66
PE07,5.439814814814815,47
PE03,4.513888888888888,39
