ecn_item,proportions,valeurs
Item 1,18.83040935672515,161
Item 146,6.432748538011696,55
Item 224,3.1578947368421053,27
Item 19,2.2222222222222223,19
Item 290,2.2222222222222223,19
Item 13,2.1052631578947367,18
Item 247,1.9883040935672516,17
Item 128,1.7543859649122806,15
Item 223,1.7543859649122806,15
Item 74,1.7543859649122806,15
Item 66,1.7543859649122806,15
Item 184,1.6374269005847955,14
Item 204,1.6374269005847955,14
Item 361,1.4035087719298245,12
Item 75,1.4035087719298245,12
Item 155,1.2865497076023393,11
Item 270,1.2865497076023393,11
Item 110,1.1695906432748537,10
Item 222,1.0526315789473684,9
Item 149,1.0526315789473684,9
Item 150,1.0526315789473684,9
Item 256,1.0526315789473684,9
Item 175,1.0526315789473684,9
Item 16,0.9356725146198831,8
Item 187,0.9356725146198831,8
Item 161,0.9356725146198831,8
Item 36,0.9356725146198831,8
Item 129,0.8187134502923977,7
Item 326,0.8187134502923977,7
Item 188,0.8187134502923977,7
Item 159,0.8187134502923977,7
Item 243,0.7017543859649122,6
Item 135,0.7017543859649122,6
Item 94,0.5847953216374269,5
Item 269,0.5847953216374269,5
Item 48,0.5847953216374269,5
Item 271,0.5847953216374269,5
Item 164,0.5847953216374269,5
Item 162,0.5847953216374269,5
Item 77,0.5847953216374269,5
Item 168,0.46783625730994155,4
Item 226,0.46783625730994155,4
Item 99,0.46783625730994155,4
Item 7,0.46783625730994155,4
Item 67,0.46783625730994155,4
Item 47,0.46783625730994155,4
Item 353,0.46783625730994155,4
Item 59,0.46783625730994155,4
Item 186,0.46783625730994155,4
Item 173,0.46783625730994155,4
Item 119,0.46783625730994155,4
Item 23,0.46783625730994155,4
Item 325,0.46783625730994155,4
Item 96,0.46783625730994155,4
Item 95,0.46783625730994155,4
Item 17,0.3508771929824561,3
Item 103,0.3508771929824561,3
Item 234,0.3508771929824561,3
Item 132,0.3508771929824561,3
Item 9,0.3508771929824561,3
Item 148,0.3508771929824561,3
Item 124,0.3508771929824561,3
Item 182,0.3508771929824561,3
Item 139,0.3508771929824561,3
Item 154,0.3508771929824561,3
Item 253,0.3508771929824561,3
Item 24,0.3508771929824561,3
Item 272,0.3508771929824561,3
Item 171,0.3508771929824561,3
Item 200,0.3508771929824561,3
Item 349,0.3508771929824561,3
Item 133,0.3508771929824561,3
Item 35,0.3508771929824561,3
Item 134,0.3508771929824561,3
Item 73,0.3508771929824561,3
Item 69,0.3508771929824561,3
Item 219,0.3508771929824561,3
Item 107,0.3508771929824561,3
Item 230,0.3508771929824561,3
Item 111,0.3508771929824561,3
Item 213,0.23391812865497078,2
Item 167,0.23391812865497078,2
Item 334,0.23391812865497078,2
Item 100,0.23391812865497078,2
Item 105,0.23391812865497078,2
Item 252,0.23391812865497078,2
Item 33,0.23391812865497078,2
Item 324,0.23391812865497078,2
Item 267,0.23391812865497078,2
Item 327,0.23391812865497078,2
Item 52,0.23391812865497078,2
Item 56,0.23391812865497078,2
Item 166,0.23391812865497078,2
Item 239,0.23391812865497078,2
Item 3,0.23391812865497078,2
Item 78,0.23391812865497078,2
Item 71,0.23391812865497078,2
Item 57,0.23391812865497078,2
Item 2,0.23391812865497078,2
Item 246,0.23391812865497078,2
Item 176,0.23391812865497078,2
Item 242,0.23391812865497078,2
Item 283,0.23391812865497078,2
Item 249,0.23391812865497078,2
Item 174,0.23391812865497078,2
Item 284,0.23391812865497078,2
Item 147,0.23391812865497078,2
Item 76,0.23391812865497078,2
Item 169,0.23391812865497078,2
Item 126,0.11695906432748539,1
Item 288,0.11695906432748539,1
Item 41,0.11695906432748539,1
Item 217,0.11695906432748539,1
Item 113,0.11695906432748539,1
Item 144,0.11695906432748539,1
Item 177,0.11695906432748539,1
Item 319,0.11695906432748539,1
Item 330,0.11695906432748539,1
Item 185,0.11695906432748539,1
Item 285,0.11695906432748539,1
Item 87,0.11695906432748539,1
Item 122,0.11695906432748539,1
Item 251,0.11695906432748539,1
Item 232,0.11695906432748539,1
Item 352,0.11695906432748539,1
Item 83,0.11695906432748539,1
Item 127,0.11695906432748539,1
Item 340,0.11695906432748539,1
Item 265,0.11695906432748539,1
Item 248,0.11695906432748539,1
Item 11,0.11695906432748539,1
Item 259,0.11695906432748539,1
Item 98,0.11695906432748539,1
Item 274,0.11695906432748539,1
Item 241,0.11695906432748539,1
Item 238,0.11695906432748539,1
Item 199,0.11695906432748539,1
Item 308,0.11695906432748539,1
Item 116,0.11695906432748539,1
Item 286,0.11695906432748539,1
Item 125,0.11695906432748539,1
Item 81,0.11695906432748539,1
Item 37,0.11695906432748539,1
Item 84,0.11695906432748539,1
Item 53,0.11695906432748539,1
Item 260,0.11695906432748539,1
Item 118,0.11695906432748539,1
Item 120,0.11695906432748539,1
Item 359,0.11695906432748539,1
Item 363,0.11695906432748539,1
Item 12,0.11695906432748539,1
Item 42,0.11695906432748539,1
Item 172,0.11695906432748539,1
Item 6,0.11695906432748539,1
Item 4,0.11695906432748539,1
Item 39,0.11695906432748539,1
Item 212,0.11695906432748539,1
Item 264,0.11695906432748539,1
Item 51,0.11695906432748539,1
