FS,proportions,valeurs
FS02,22.453703703703702,194
FS01,21.412037037037038,185
FS04,12.037037037037036,104
FS09,9.143518518518519,79
FS03,8.912037037037036,77
FS08,8.217592592592593,71
FS05,6.018518518518518,52
FS10,4.050925925925926,35
FS07,3.2407407407407405,28
FS11,2.430555555555556,21
FS06,2.083333333333333,18
