,student_id_short,student_id,internship_id_short,internship_id,record_id_short,record_id
0,1,1ed8105d-c254-6f7a-9ce4-91b15023c51a,1,0192958d-8f9d-78b2-bd56-0f3e6abbe477,1,01955315-5c67-70b8-8ed8-e0178898a763
1,1,1ed8105d-c254-6f7a-9ce4-91b15023c51a,1,0192958d-8f9d-78b2-bd56-0f3e6abbe477,2,01955315-fe3f-7f7f-a5f1-86b7859376d9
2,1,1ed8105d-c254-6f7a-9ce4-91b15023c51a,1,0192958d-8f9d-78b2-bd56-0f3e6abbe477,3,01955316-9328-7a6b-a339-8464fbbd2eec
3,1,1ed8105d-c254-6f7a-9ce4-91b15023c51a,1,0192958d-8f9d-78b2-bd56-0f3e6abbe477,4,01955319-7f46-7751-9fc8-6fa41cd55491
4,1,1ed8105d-c254-6f7a-9ce4-91b15023c51a,1,0192958d-8f9d-78b2-bd56-0f3e6abbe477,5,01955891-d4fe-70e3-afff-87b3d8148ddb
5,1,1ed8105d-c254-6f7a-9ce4-91b15023c51a,1,0192958d-8f9d-78b2-bd56-0f3e6abbe477,6,01955892-67b3-7517-ba11-915300f72e47
6,1,1ed8105d-c254-6f7a-9ce4-91b15023c51a,1,0192958d-8f9d-78b2-bd56-0f3e6abbe477,7,01955893-1e0e-7bc4-b1bc-5d643dd56e1c
7,1,1ed8105d-c254-6f7a-9ce4-91b15023c51a,1,0192958d-8f9d-78b2-bd56-0f3e6abbe477,8,01955893-ee29-7cd1-b3ad-6d04dc866c16
8,1,1ed8105d-c254-6f7a-9ce4-91b15023c51a,1,0192958d-8f9d-78b2-bd56-0f3e6abbe477,9,019562f0-099e-743d-af36-32655e5c50ae
9,1,1ed8105d-c254-6f7a-9ce4-91b15023c51a,1,0192958d-8f9d-78b2-bd56-0f3e6abbe477,10,01959f4f-a850-7dc1-9a7e-b1646cde346d
10,2,1ed8105d-c256-612c-a830-91b15023c51a,2,01929592-9985-7fa6-b2b6-f9bcc7b9b408,11,01933f79-dbc2-7a63-85a2-b4eb11b74b4d
11,2,1ed8105d-c256-612c-a830-91b15023c51a,2,01929592-9985-7fa6-b2b6-f9bcc7b9b408,12,019359bc-b0b7-75ce-b469-40d92fad3382
12,2,1ed8105d-c256-612c-a830-91b15023c51a,2,01929592-9985-7fa6-b2b6-f9bcc7b9b408,13,019455f8-cfcf-7a56-8db1-2758e471c6d9
13,2,1ed8105d-c256-612c-a830-91b15023c51a,2,01929592-9985-7fa6-b2b6-f9bcc7b9b408,14,0194c8d3-631a-7be6-b06d-744a50074684
14,2,1ed8105d-c256-612c-a830-91b15023c51a,2,01929592-9985-7fa6-b2b6-f9bcc7b9b408,15,0194c8d9-d135-7100-837f-853a512ab8eb
15,2,1ed8105d-c256-612c-a830-91b15023c51a,2,01929592-9985-7fa6-b2b6-f9bcc7b9b408,16,0194f07f-c0ff-71f4-9c31-3ffa96266fbd
16,2,1ed8105d-c256-612c-a830-91b15023c51a,2,01929592-9985-7fa6-b2b6-f9bcc7b9b408,17,0194f081-69e2-7459-b1f0-c8b7db83aa77
17,2,1ed8105d-c256-612c-a830-91b15023c51a,2,01929592-9985-7fa6-b2b6-f9bcc7b9b408,18,0194f082-4d5a-7673-a1e0-fc3d83e21ad5
18,2,1ed8105d-c256-612c-a830-91b15023c51a,2,01929592-9985-7fa6-b2b6-f9bcc7b9b408,19,0194f084-283e-7e44-b39b-56f7b41e1ed9
19,2,1ed8105d-c256-612c-a830-91b15023c51a,2,01929592-9985-7fa6-b2b6-f9bcc7b9b408,20,0194f085-34ca-7f50-a18e-ac84def053fe
